# built_at: 2026-09-21T14:52:58+0200
# source_path: /Users/nagi/dev/03-mnbrain/mnbrain_db/mnbrain_dup_one_empt.db
# source_sha256: dd651aa53e26e364a39ee1ccf5a171dadf40ebe9be1bca1157440eb1f6b18c04
# tool: build_translit_db.py
# tool_version: 1.1.0
# config: {"dedupe": true, "dry_run": false, "export_tsv": null, "export_tsv_xz": "builds_tsv/01_kv.tsv.xz", "index_mn": true, "lowercase_mn": false, "nfc": false, "output": "mn2mb.db", "overwrite": true, "page_size": 4096, "schema": "kv", "source": "../../mnbrain_db/mnbrain_dup_one_empt.db", "strip_variation_selectors": false, "tsv_header": true, "tsv_multi_sep": "|", "tsv_only": true, "tsv_sort": "mn", "tsv_xz_preset": "9e", "vacuum": true, "without_rowid": false}
# counts: {"elapsed_seconds": 0.02, "normalized": 21326, "raw": 21326, "written": 21133}
# columns: mn	mb
--д	ᠳ᠋ᠤ
--тэй	ᠲᠠᠢ
--уулах	-‍ᠭᠤᠯᠬᠤ
-аа	-ᠠᠠ
-бал	-ᠪᠠᠯ
-вий	-ᠪᠤᠢ
-грамм	ᢉᠷᠠᠮᠮ
-гүй	ᢉᠦᠢ
-д	ᠳ᠋ᠤ
-дахь	-ᠳ᠋ᠠᠬᠢ
-руу	-ᠤᠷᠤᠭᠤ
-рүү	-ᠤᠷᠤᠭᠤ
-тай	ᠲᠠᠢ
-тай4	-ᠲᠠᠶᠢ᠔
-ууштай	-‍ᠤᠤᠭᠤᠰᠢᠲᠠᠢ
-ч	-ᠴᠤ
-ын	ᠶ᠋ᠢᠨ
-өөр	ᠥᢉᠡᠷ᠎ᠡ
...төлбөр	ᠲᠥᠯᠦᠪᠦᠷᠢ
path	ᠫᠠᠲᠾ
АНУ	ᠠ,ᠨᠡ,ᠤ,
Австрали	ᠠᠦ᠋ᠰᠲ᠋ᠷᠠᠯᠢ
Агрегат	ᠠᢉᠷᠧᠭᠠᠲ
Акт	ᠠᠻᠲ
Алжир	ᠠᠯᠵᠢᠷ
Амстердам	ᠠᠮᠰᠲ᠋ᠧᠷᠳᠠᠮ
Англичууд	ᠠᠩᢉᠯᠢᠴᠤᠳ
Арал	ᠠᠷᠠᠯ
Аргентин	ᠠᠷᢉᠧᠨ᠋ᠲ᠋ᠢᠨ᠋
Армен	ᠠᠷᠮᠧᠨ᠋
Асклепий	ᠣᠲᠠᠴᠢ
Аттестатчилагдсан	ᠠᠲ᠋ᠲ᠋ᠧᠰᠲ᠋ᠠᠲ᠋ᠴᠢᠯᠠᠭᠳᠠᠭᠰᠠᠨ
Афганистан	ᠠᠹᠭᠠᠨᠢᠰᠲ᠋ᠠᠨ᠋
Афин	ᠠᠹᠢᠨ
Байгаль	ᠪᠠᠶᠢᠭᠠᠯᠢ
Бангладеш	ᠪᠠᠩᠯᠠᠳ᠋ᠧᠱ
Бархасбадь	ᠪᠠᠷᠬᠠᠰᠪᠠᠳᠢ
Био-тархалт	ᠪᠢᠣᠲᠠᠷᠬᠠᠯᠲᠠ
Бирм	ᠪᠢᠷᠮ
Болгар	ᠪᠣᠯᠭᠠᠷ
Буд	ᠪᠤᠳ
Бээжин	ᠪᠡᢉᠡᠵᠢᠩ
Бүрээс	ᠪᠦᠷᠢᠶᠡᠰᠦ
Вавилон	ᠸᠠᠸᠢᠯᠣᠨ᠋
Ватикан	ᠸᠠᠲ᠋ᠢᠻᠠᠨ᠋
Вена	ᠸᠧᠨᠠ
Газардуулах	ᠭᠠᠵᠠᠷᠳᠠᠭᠤᠯᠬᠤ
Гвиней	ᢉᠸᠢᠨᠧᠢ
Голланд	ᠾᠣᠯᠯᠠᠨ᠋ᠳ᠋
Грек	ᢉᠷᠧᠻ
Гүрж	ᢉᠦᠷᠵᠢ
Гүүгл	ᢉᠦᠦ᠋ᢉᠯ
Дамар	ᠳᠠᠮᠠᠷᠤ
Дамжуулга	ᠳᠠᠮᠵᠢᠭᠤᠯᠭ᠎ᠠ
Дани	ᠳ᠋ᠠᠨᠢ
Дэгээ	ᠳᠡᢉᠡᢉᠡ
Жакарта	ᠵᠠᠻᠠᠷᠲ᠋ᠠ
Жорлон	ᠵᠣᠷᠯᠤᠩ
Заалт	ᠵᠢᠭᠠᠯᠲᠠ
Зангилгаа	ᠵᠠᠩᢉᠢᠯᠠᠭ᠎ᠠ
Зарлага	ᠵᠠᠷᠤᠯᠭ᠎ᠠ
Зохицуулагдах	ᠵᠣᠬᠢᠴᠠᠭᠤᠯᠤᠭᠳᠠᠬᠤ
Зөвлөл	ᠵᠥᠪᠯᠡᠯ
Зөрчил	ᠵᠥᠷᠢᠴᠡᠯ
Зөөллөх	ᠵᠥᢉᠡᠯᠡᠯᠡᠬᠦ
