# case	case_form	harmony	rank	mode	form
genitive	ᠶᠢᠨ	masculine	1	append	ᠢᠶᠠᠨ
genitive	ᠶᠢᠨ	feminine	1	append	ᠢᠶᠡᠨ
genitive	ᠤ	masculine	1	append	ᠪᠠᠨ
genitive	ᠦ	feminine	1	append	ᠪᠡᠨ
genitive	ᠤᠨ	masculine	1	append	ᠢᠶᠠᠨ
genitive	ᠦᠨ	feminine	1	append	ᠢᠶᠡᠨ
accusative	ᠢ	masculine	1	replace_case	ᠶᠤᠭᠠᠨ
accusative	ᠢ	feminine	1	replace_case	ᠶᠦᠭᠡᠨ
accusative	ᠶᠢ	masculine	1	replace_case	ᠶᠤᠭᠠᠨ
accusative	ᠶᠢ	feminine	1	replace_case	ᠶᠦᠭᠡᠨ
accusative	ᠢ	masculine	2	append	ᠪᠠᠨ
accusative	ᠢ	feminine	2	append	ᠪᠡᠨ
accusative	ᠶᠢ	masculine	2	append	ᠪᠠᠨ
accusative	ᠶᠢ	feminine	2	append	ᠪᠡᠨ
dative-locative	ᠳᠤ	masculine	1	replace_case	ᠳᠠᠭᠠᠨ
dative-locative	ᠳᠤᠷ	masculine	1	replace_case	ᠳᠠᠭᠠᠨ
dative-locative	ᠳᠦ	feminine	1	replace_case	ᠳᠡᠭᠡᠨ
dative-locative	ᠳᠦᠷ	feminine	1	replace_case	ᠳᠡᠭᠡᠨ
dative-locative	ᠲᠤ	masculine	1	replace_case	ᠲᠠᠭᠠᠨ
dative-locative	ᠲᠤᠷ	masculine	1	replace_case	ᠲᠠᠭᠠᠨ
dative-locative	ᠲᠦ	feminine	1	replace_case	ᠲᠡᠭᠡᠨ
dative-locative	ᠲᠦᠷ	feminine	1	replace_case	ᠲᠡᠭᠡᠨ
dative-locative	ᠳᠤ	masculine	2	append	ᠪᠠᠨ
dative-locative	ᠳᠤᠷ	masculine	2	append	ᠢᠶᠠᠨ
dative-locative	ᠳᠦ	feminine	2	append	ᠪᠡᠨ
dative-locative	ᠳᠦᠷ	feminine	2	append	ᠢᠶᠡᠨ
dative-locative	ᠲᠤ	masculine	2	append	ᠪᠠᠨ
dative-locative	ᠲᠤᠷ	masculine	2	append	ᠢᠶᠠᠨ
dative-locative	ᠲᠦ	feminine	2	append	ᠪᠡᠨ
dative-locative	ᠲᠦᠷ	feminine	2	append	ᠢᠶᠡᠨ
ablative	ᠠᠴᠠ	masculine	1	replace_case	ᠠᠴᠠᠭᠠᠨ
ablative	ᠡᠴᠡ	feminine	1	replace_case	ᠡᠴᠡᠭᠡᠨ
ablative	ᠠᠴᠠ	masculine	2	append	ᠪᠠᠨ
ablative	ᠡᠴᠡ	feminine	2	append	ᠪᠡᠨ
comitative	ᠲᠠᠢ	masculine	1	replace_case	ᠲᠠᠢᠭᠠᠨ
comitative	ᠲᠡᠢ	feminine	1	replace_case	ᠲᠡᠢᠭᠡᠨ
comitative	ᠲᠠᠢ	masculine	2	append	ᠪᠠᠨ
comitative	ᠲᠡᠢ	feminine	2	append	ᠪᠡᠨ
instrumental	ᠢᠶᠠᠷ	masculine	1	append	ᠢᠶᠠᠨ
instrumental	ᠢᠶᠡᠷ	feminine	1	append	ᠢᠶᠡᠨ
instrumental	ᠪᠠᠷ	masculine	1	append	ᠢᠶᠠᠨ
instrumental	ᠪᠡᠷ	feminine	1	append	ᠢᠶᠡᠨ
